crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,1,evergreen broad-leaved forest,NA,T2.4,Warm temperate laurophyll forests,T2.4 Warm temperate laurophyll forests,10
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,10,alpine vegetation,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,11,alpine desert,NA,T5.4,Cool deserts and semi-deserts,T5.4 Cool deserts and semi-deserts,33
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,12,cultivated vegetation,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,13,wetland,NA,NA,No Data,NA No Data,255
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,14,water,NA,NA,No Data,NA No Data,255
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,15,permanent snow/ice,NA,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,16,non-vegetated area,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,2,evergreen coniferous forest,NA,T2.1,Boreal and temperate high montane forests and woodlands,T2.1 Boreal and temperate high montane forests and woodlands,7
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,3,coniferous and broad-leaved mixed forest,NA,T2.1,Boreal and temperate high montane forests and woodlands,T2.1 Boreal and temperate high montane forests and woodlands,7
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,4,deciduous broad-leaved forest,NA,T2.2,Deciduous temperate forests,T2.2 Deciduous temperate forests,8
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,5,deciduous coniferous forest,NA,T2.1,Boreal and temperate high montane forests and woodlands,T2.1 Boreal and temperate high montane forests and woodlands,7
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,6,scrub,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,7,alpine scrub meadow,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,8,alpine meadow,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
30-Mar-26,Tess_Harmer,2.1,374,tut_tibet_veg_2024,TPveg_2020,NA,9,alpine grassland,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
