crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,0,T1.1,T1.2,T1.3,T1.4,T2.1,T2.2,T2.3,T2.4,T2.5,T2.6,T3.1,T3.2,T3.3,T3.4,T4.1,T4.2,T4.3,T4.4,T4.5,T5.1,T5.2,T5.3,T5.4,T5.5,T6.1,T6.2,T6.3,T6.4,T6.5,T7.1,T7.2,T7.3,T7.4,T7.5,S1.1,S1.2,S2.1,SF1.1,SF1.2,SF2.1,SF2.2,SM1.1,SM1.2,SM1.3,TF1.1,TF1.2,TF1.3,TF1.4,TF1.5,TF1.6,TF1.7,F1.1,F1.2,F1.3,F1.4,F1.5,F1.6,F1.7,F2.1,F2.2,F2.3,F2.4,F2.5,F2.6,F2.7,F2.8,F2.9,F2.10,F3.1,F3.2,F3.3,F3.4,F3.5,FM1.1,FM1.2,FM1.3,M1.1,M1.2,M1.3,M1.4,M1.5,M1.6,M1.7,M1.8,M1.9,M1.10,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M3.4,M3.5,M3.6,M3.7,M4.1,M4.2,MT1.1,MT1.2,MT1.3,MT1.4,MT2.1,MT2.2,MT3.1,MFT1.1,MFT1.2,MFT1.3,NA
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,3,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,4,Dry forest,,,,0.45,,,,,,,,,0.3,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,5,Mangrove,Dense evergreen tree cover that grows in saline or brackish coastal waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,6,Flooded forest,"Tree cover of the floodplain and floodable terraces (seasonal or permanent). Developed in poorly drained soils with abundant organic matter, it is dominated by palm trees along with species such as ""renacales"" and ""pungales""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,51,Lowland flooded grassland,"Floodplain vegetation cover (grasslands and hydrophytic savannas) on hydromorphic soils. After prolonged flooding recedes, a dense, low-lying herbaceous carpet emerges. Includes the palm savannas of the Pampas del Heath.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,82,High andean flooded grassland,"Evergreen, compact and cushion-like vegetation, located in valley bottoms, volcanic cones and high Andean plains (>3800 m above sea level) on permanently flooded and poorly drained soils.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,12,Herbaceous formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,66,Shrubland and other shrub vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,70,Coastal hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,21,Mosaic of agriculture and pasture,"Undifferentiated agricultural areas encompassing both agriculture and pastureland, as well as urban green spaces. Depending on the biome, the predominant crops are: in the Equatorial Dry Forest and Coastal Desert, cereals, vegetables, and fruit trees; in the Amazon, livestock, cereals, and oil palm; and in the Andes, livestock, cereals, tubers, and vegetables in inter-Andean valleys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
