crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,1,Water Bodies,"An area covered with water: sea, river, lake",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,10,Evergreen Broad-leaved Forest (EBF),A broadleaf forest that does not have a period when all leaves are shed.,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,11,Evergreen Needle-leaved Forest (ENF),A coniferous forest that does not have a period when all leaves are shed.,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,12,Rubber Tree Plantation,An area covered with artificially planted rubber trees.,T7.3,Plantations,T7.3 Plantations,48
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,13,Oil Palm Tree Plantation,An area covered with artificially planted oil palms.,T7.3,Plantations,T7.3 Plantations,48
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,14,Mangrove Forest,An area covered with woody plants that grow in the intertidal zone and brackish water areas.,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,15,Bare,"An area where no vegetation grows, and rocks or soil are exposed, such as sandy areas.",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,2,Built-up,"Buildings, roads (paved), parking lots, etc.",T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,3,Solar Panel,An area covered with panels that generate electricity from sunlight.,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,4,Cropland,An agricultural land cultivated without flooding. Irrigated farmland is included in this category.,T7.1,Annual croplands,T7.1 Annual croplands,46
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,5,Single-crop Paddy Field,An area where paddy is cultivated one time per year (excluding mixed cropping systems),F3.3,Rice paddies,F3.3 Rice paddies,109
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,6,Multi-crop Paddy Field,An area where paddy is cultivated more than one time per year (excluding mixed cropping systems),F3.3,Rice paddies,F3.3 Rice paddies,109
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,7,Herbaceous Wetland,"An area covered with natural wetland vegetation, regardless of whether it is flooded (excluding woody plants or artificially planted vegetation)",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,8,Grassland,"An area covered with herbaceous plants: pastures, riverbanks, golf courses, soccer fields, etc.",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
14/04/2026,Alli Lynn,2.1,401,jaxa_asia_lc_2023,2023SEA_v25.09,raster code,9,Deciduous Broad-leaved Forest (DBF),A broadleaf forest where all leaves are shed during unfavorable growing seasons.,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
