crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,11,Flooded grasslands,"Transitional areas between pure terrestrial and aquatic systems, where the water table is generally at or near the surface (flooded areas). Natural plant cover formed by herbaceous plants is significantly influenced by water and/or depends on flooding (e.g.: estuaries, wetlands, ravines, swamps and aquatic beds).",TF1.4,Seasonal floodplain marshes,TF1.4 Seasonal floodplain marshes,73
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,12,Grasslands,"Areas with natural vegetation formed by herbaceous plants with cover equal to or greater than 5%. In this category, the presence of woody plants is admitted, but they must have a cover of between 1-5% and 20%",T4.5,Temperate subhumid grasslands,T4.5 Temperate subhumid grasslands,26
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,15,Pastures,Areas with herbaceous crop cultivation for forage purposes (animal production).,T7.2,Sown pastures and fields,T7.2 Sown pastures and fields,47
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,19,Temporary crops,"Corresponds to areas occupied with annual crops, that is, that have been planted or harvested during the reference year. Includes areas of extensive crops, annual green fodder and horticulture. Also includes areas with rest period between agricultural sowings.",T7.1,Annual croplands,T7.1 Annual croplands,46
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,21,Agriculture and pasture mosaic,"Areas with plant covers of anthropic origin formed by a heterogeneous association in time and space of agriculture, pastures, vegetables and/or fruit trees, generally small-scale, typical but not exclusive of irrigated areas",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,24,Urban areas,"Areas with significant density of roads, buildings and predominance of non-vegetated surfaces, including infrastructure and open spaces.",T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,25,Other non-vegetated areas,"Areas with plant cover less than 5%. Mixed class that includes beaches, dunes and salt flats (bright white sandy ridges, where there is no predominance of vegetation of any type), urban and rural infrastructure (with predominance of non-vegetated surfaces such as buildings and asphalt, excluding vegetation situations in settlements such as trees or grass), mining areas (such as quarries, open pit mining, without presence of water), rocky outcrops (rock naturally exposed on the surface without plant cover) and other areas with scarce or no plant cover.",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,27,Not observed,NA,0,No data,No data,0
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,3,Closed forests,NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,33,"Rivers, lakes or ocean",NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,34,Ice and permanent snow,"Areas with permanent and superficial snow or ice cover, generally located in the Andean summits. Does not include debris-covered glaciers.",T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,36,Perennial crops,NA,T7.3,Plantations,T7.3 Plantations,48
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,4,Open forests,NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,6,Flooded forests,"Transitional areas between pure terrestrial and aquatic systems, where the water table is generally at or near the surface (flooded areas). The natural vegetation cover formed by trees, shrubs or a mixture of both is significantly influenced by water and/or depends on flooding",TF1.2,Subtropical/temperate forested wetlands,TF1.2 Subtropical/temperate forested wetlands,71
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,63,Shrubs and herbaceous mosaic,"Areas with natural vegetation formed by trees, shrubs or a mixture of both, with coverage equal to or greater than 5% and less than 20%.",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,66,Closed shrublands,"Areas with natural vegetation dominated by tall shrubs (greater than one meter and less than three), with coverage equal to or greater than 65%.",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,73,Peatlands,"Peat accumulation zones, mainly identified in the south of the region (Tierra del Fuego and south of Santa Cruz)",TF1.6,"Boreal, temperate and montane peat bogs","TF1.6 Boreal, temperate and montane peat bogs",75
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,77,Open shrublands,"Areas with natural vegetation dominated by tall shrubs (greater than one meter and less than three), with coverage equal to or greater than 20% and less than 65%.",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,488,mapb_argen_lcov_2026,49588,argentina_coverage_2024,raster code,9,Forest plantations,NA,T7.3,Plantations,T7.3 Plantations,48
