crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
31-Mar-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Bare land,0,NA,NA,T6.2,"Polar/alpine cliffs, screes, outcrops and lava flows","T6.2 Polar/alpine cliffs, screes, outcrops and lava flows",39
1-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Alpine scree,1,NA,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
10-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Deciduous shrubland,10,NA,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
11-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Water body,11,NA,NA,NA,No Data,NA No Data,255
12-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Wetland,12,NA,NA,TF1.4,Seasonal floodplain marshes,TF1.4 Seasonal floodplain marshes,73
13-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Cultivated vegetation,13,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
14-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Permanent ice and snow,14,NA,NA,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
2-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Alpine grassland,2,NA,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
3-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Alpine meadow,3,NA,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
4-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Evergreen needle-leaved forest,4,NA,NA,T2.1,Boreal and temperate high montane forests and woodlands,T2.1 Boreal and temperate high montane forests and woodlands,7
5-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Deciduous needle-leaved forest,5,NA,NA,T2.1,Boreal and temperate high montane forests and woodlands,T2.1 Boreal and temperate high montane forests and woodlands,7
6-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Evergreen broadleaved forest,6,NA,NA,T2.4,Warm temperate laurophyll forests,T2.4 Warm temperate laurophyll forests,10
7-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Deciduous broadleaved forest,7,NA,NA,T2.2,Deciduous temperate forests,T2.2 Deciduous temperate forests,8
8-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Mixed forest,8,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
9-Apr-26,Tess_Harmer,2.1,285,wuhan_tibet_lcov_2024,TP_LC10-2022,Evergreen shrubland,9,NA,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
