crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,0,T1.1,T1.2,T1.3,T1.4,T2.1,T2.2,T2.3,T2.4,T2.5,T2.6,T3.1,T3.2,T3.3,T3.4,T4.1,T4.2,T4.3,T4.4,T4.5,T5.1,T5.2,T5.3,T5.4,T5.5,T6.1,T6.2,T6.3,T6.4,T6.5,T7.1,T7.2,T7.3,T7.4,T7.5,S1.1,S1.2,S2.1,SF1.1,SF1.2,SF2.1,SF2.2,SM1.1,SM1.2,SM1.3,TF1.1,TF1.2,TF1.3,TF1.4,TF1.5,TF1.6,TF1.7,F1.1,F1.2,F1.3,F1.4,F1.5,F1.6,F1.7,F2.1,F2.2,F2.3,F2.4,F2.5,F2.6,F2.7,F2.8,F2.9,F2.10,F3.1,F3.2,F3.3,F3.4,F3.5,FM1.1,FM1.2,FM1.3,M1.1,M1.2,M1.3,M1.4,M1.5,M1.6,M1.7,M1.8,M1.9,M1.10,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M3.4,M3.5,M3.6,M3.7,M4.1,M4.2,MT1.1,MT1.2,MT1.3,MT1.4,MT2.1,MT2.2,MT3.1,MFT1.1,MFT1.2,MFT1.3,NA
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Arbusto,Shrubs,Natural vegetation that covers from 15 to 100% of the ground. It has a lower stratum dominated by natural herbaceous vegetation. It may correspond to what in Uruguay is called “chircal”.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Area Impermeable,Impervious Area,Areas defined by the replacement of the original semi-natural cover or aquatic surface with an artificial cover of impermeable materials characterized by a long lifespan. These are areas constructed or formed by adjacent impermeable structures or connected by streets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Area Impermeable Dispersa,Scattered Impervious Area,"Scattered areas with artificial impermeable cover (15% to 30%), with small crops, forest plantations and natural herbaceous vegetation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Arena,Sand,Areas made up of fine to coarse sands and dunes of aeolian origin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.6
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Ba¤ados/Humedales,Marshes/Wetlands,"Permanently floodable areas located in zones of little or no slope. A gradient of increasing moisture from the soil to the open water determines a vegetation sequence. When the flooding is temporary, there is a gradual transition to grassland or reedbeds; with permanent flooding, reedbeds or cattail marshes develop. When depth and light permit, submerged or floating aquatic plants become established.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Bosque Nativo,Native Forest,"Vegetation dominated by native trees and other plant forms. Includes gallery forest, parkland, mountain forest, and ravine forest. Trees can reach heights of 3 to 8 meters, and ground cover is 65 to 100%. The floristic composition of this ecosystem varies according to the type of forest and environmental conditions.",,,,,,,,,,,,,,,,,0.2,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Bosque Nativo Disperso,Scattered Native Forest,"Vegetation dominated by trees and other native plant forms. Includes gallery forest, parkland, mountain forest, and ravine forest. Trees can reach heights of 3 to 8 meters, and ground cover is 30 to 65%. The floristic composition of this ecosystem varies according to the type of forest and environmental conditions.",,,,,,,,,,,,,,,,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,"Cantera, Arenera, Mina a Cielo Abierto","Quarry, Sandpit, Open-pit Mine","Extraction sites where the cover of earth, rock, or aggregate materials is removed by human activity. Sites where mineral extraction and processing activities take place were considered.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Cuerpo de Agua Artificial,Artificial Water Body,This category includes reservoirs/dams (accumulation of water produced by an obstruction in the bed of a river or stream that partially or totally closes its channel) and irrigation canals (constructions that carry water from the collection to the field where it is applied to crops).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Cuerpo de Agua Natural,Natural Water Body,"This category includes all natural water bodies in the national territory: lakes, lagoons, rivers, streams and areas corresponding to low plains located on the edge of some lagoons and at the mouth of some streams, which remain flooded for several months of the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
