crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Flooded grassland/shrubland,11,NA,"Areas with the presence of flat and/or padded wetlands of the humid puna, rainfall located near bodies of water. Aquatic vegetation in shallow waters.
High Andean wetland of the xerophytic puna. They are located in topographic depressions, near bodies of water or melting phenomena, typical of high tropical mountains. Its shape is flat or in the form of cushioned cushions, it occurs at an altitude >3,000 m.a.s.l. High Andean wetland and Subnival of the Xerophytic Puna flooded by mineralized waters.
Floods are not very frequent, they occur every eight or ten years. The most affected areas are those located in the foothills, downhill and river slopes.
Vegetation that develops on heavy, clayey or silty hydromorphic soils, with poor internal drainage to seasonally flooded, in alluvial plains and river valleys. Composed of hydrophytic savannas with mounds from the Cerrado in the Chiquitanía (Pampas-termite mounds), distributed in the southern and eastern areas, which are temporarily flooded to varying degrees depending on the topography.
Herbaceous vegetation with a predominance of grasses subject to permanent or temporary flooding (at least once a year) according to natural flood pulses. Swampy areas usually occur on the margins of temporary or permanent lakes occupied by emerging, submerged, or floating aquatic plants (e.g., curichis and swamps). Area of frequent and seasonal flooding (3-4 months). It has grassy vegetation, grasses and herbaceous savannahs.
Vegetation cover located in the floodplain, such as grasslands and hydrophytic savannahs, which are flooded for a long period of the year. A group of deciduous forests that develop on clay or silty soils, with poor drainage seasonally flooded in river valleys, which are flooded for a long period of the year.
Floods are caused by the overflow of rivers that form mazamorras, creating a damming effect affecting vegetation and/or possible landslides. In some areas they generate soil moisture that is used by farmers to form cuts.",TF1.4,Seasonal floodplain marshes,TF1.4 Seasonal floodplain marshes,73
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Grassland/shrubland,12,NA,"Shrubby grasslands and Bolivian-Tucumán montane rainfall scrublands. Bolivian-Tucuman montane subhumid grassland on well-drained soils. Xerophytic grasslands and shrubs; composed of open shrubs and grasslands (Pajonal de Ichu).
Vegetation with a predominance of herbaceous strata, with the presence of isolated shrubs and stunted woody trees. The botanical composition is influenced by edaphic and topographic gradients.
High Andean grasslands of the humid Puna distributed in different types of soils from humid to eroded. It occurs in areas >3,000 m.a.s.l. In the southern area grasslands and high Andean shrublands of the southern Xerophytic Puna. Areas with grasslands with camelid grazing.
It occurs in vegetation formations of extremely xeric climates called savanna, which feature shrub and tree elements that do not fully develop, over a continuous layer of grasses and/or are dominated by grasses.
Savannas with grasses, sedges and scattered shrubs, closed savannas with high grasslands and on the tops of the mountains in areas with shallow soils. They are present in areas above >3,000 m.a.s.l. They appear in areas with shallow soils (mountain tops).
Composed mainly of herbaceous species and open shrub savannahs. The grass-herbaceous stratum forms a continuous layer that generally does not exceed 1 m in height. Sclerophyllous chaparral and wooded savannas of the Chiquitania on well-drained soils
Areas with subhumid, montane and grassland shrub vegetation present greater than 65% and scattered tholar and shrubs",T4.2,Pyric tussock savannas,T4.2 Pyric tussock savannas,23
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Other non-forest natural formation,13,NA,"Shrubs, chaparral trees present in the upper Amazon region, with several altitudinal levels and different types of evergreen vegetation, generally <3,000 m.a.s.l.
They are floristically made up of the chaparral of the Abayoy, which mostly includes large elements of the Cerrado, followed by some floristic components of the Gran Chaco, characterized by its sandy soils. In addition, it has shrubs, shrubs and low forests with frequent thorny bromeliads, cacti and xeromorphic ferns.
It is made up of chaparral trees in very sandy soils, where the sands have covered the soil with silty and clayey sediments, deposited in the old alluvial plains. Wooded savannas of the sandbanks of the Chaco.
Areas made up of several communities of low shrubs, closed and scattered chaparrals.
In this region, the dominant physiognomy corresponds to shrubs or shrubs which generally grow below 3,000 m of altitude. Highland shrublands and grasslands of the Puna and Xerophytic Altiplano on well-drained soils with fallow land and extensive meadows. It is mainly made up of xeromorphic shrubs with grasses and cacti.
It has mixed vegetation of grassland with the presence of shrubs or small shrubs and saxicolous vegetation of the highlands. They are distributed above 2,800 – 3,000 m on the summits of the Bolivian-Tucumán mountain ranges and/or areas with shallow soils.",T1.2,Tropical/Subtropical dry forests and thickets,T1.2 Tropical/Subtropical dry forests and thickets,2
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Pasture,15,NA,"The Chiquitano biome is historically a territory with a semi-extensive livestock or livestock vocation, this area is characterized by having sown pastures and to a lesser extent natural. Livestock rotation is practiced due to the lack of water. It is currently an important area for the export of beef to international markets and domestic consumption.
Livestock breeding is practiced under an extensive production system, where management is family and following traditional systems. A grazing rotation is practiced, where in the high and less humid areas grazing in the rainy season and the lower areas in the dry season. This activity is generally carried out on communal properties, in the forest or meadows. The arrangement of cultivated pastures is generally in small to medium-sized plots.
Cultivated pastures (brachiarias, fescue, ryegrass, etc.) and natural pastures, for cattle feed. The sown pastures are perennial and last 4 to 5 years.
In the Bolivian Chaco, a new form of livestock exploitation is being implemented, characterized by semi-intensive management, called ""sustainable community livestock"" or new livestock, in communities where the sustainable and rational use of the forest and water are its main pillars, this accompanied by rigorous management of the cattle herd. It is characterized by the construction of cut-offs to provide water to the cattle due to the scarcity of fodder and water in the dry season. It also presents cultivated pastures such as (fescue, brachiaria, ryegrass, etc.)
This coverage includes lands occupied by natural pastures where livestock management practices are evident and in addition to cultivated pastures (Brachiarias, Festuca, fodder sorghum, etc.) for livestock. Planted grasses or perennial forage food last 4, 5 or more years, keeping the soil covered all year round.
In the Andean Puna (> 4,000 meters above sea level), cattle ranching is carried out in natural pastures, which make use of ancestral practices adapted to their production objectives and the harsh natural environment, sheep, goat, and cattle farming. It also has some cultivated pastures (Alfalfa, clover, sheep grass, oats, barley, etc.). It presents geometric patterns as an effect of the parceling of the properties.",T7.2,Sown pastures and fields,T7.2 Sown pastures and fields,47
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Mosaic of uses,21,NA,"Livestock activity and pastures cultivated for their consumption predominate. The pastures, being perennial, last 4 to 5 years, keep the soil covered and take advantage of cuts and regrowth. The implementation of agriculture with small-scale crops is observed, mainly due to its moderate fertility for agriculture. In addition, you have areas that are very prone to flooding, which is not suitable for many crops.",NA,Not referable,Not referable,255
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,"Beach, dune and sand spot",23,NA,"Areas with the presence of sandy cover or no vegetation that is transported by rivers and deposited in the eastern plains forming sandbanks.
These regions are characterized by periodic obstruction of the river drainage by the sediments of the river itself. In addition, seasonally the causes of secondary rivers dry up forming beaches or sandbanks.",F1.1,Permanent upland streams,F1.1 Permanent upland streams,81
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Urban infrastructure,24,NA,"Urban infrastructure is understood to include all the networks of services and road structuring necessary for the establishment of urban facilities and housing, whose urban characteristics are: road structuring, predominant built limits, typologies of urban fabric of the different areas, structuring of the networks of equipment and public service, which in short allow the understanding of the ""urban form"" to describe its conformation, type of layout, built density and etc. Area covered by urban infrastructure, with human settlements of more than 1,000 inhabitants.",T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Other non-vegetated anthropic area,25,NA,"Crop transition areas, roads and highways, airstrips, industrial yards, and areas of recent deforestation.",NA,Not referable,Not referable,255
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Rocky outcrop,29,NA,"There are rocky outcrops that correspond to the Paleozoic, normally this class presents consolidated rock, outcrops and rocky sediments dragged mainly by ice. However, there are inclusions where there is colluvial accumulation of soil, developing under conditions of very low temperature and good humidity that is more frequently found in the upper part (middle mountains).
Areas formed mainly by exposed rocks with little or no vegetation that can be saxicolous and/or rocky. It is located in areas with slopes.
It has surfaces with rocky outcrops or steep slopes that are very stony. The undulating and strongly eroded terrain (Serranía de Santiago de Chiquitos), has been formed from various granitic and metamorphic rocks.
Areas with little or no vegetation, present in undulating and heavily eroded terrain, have been formed from various granitic and metamorphic rocks. May include exposed rock.",T3.4,"Young rocky pavements, lava flows and screes","T3.4 Young rocky pavements, lava flows and screes",19
7/09/2024,Tess_Harmer,2.1,482,mapb_boliv_lcov_2024,9739,mapbiomas-bolivia-collection-30-2024.tif,Forest,3,NA,"Inter-Andean dry forests and Polylepis forests. The former are distributed between 1,000 and 3,000 m of altitude, occupying valleys and lower parts of slopes. They include low, deciduous and thorny forests, with shrubby tree canopy 3 to 5 m high and columnar cacti up to 10 m; and semi-deciduous forests, with a tree canopy of 10 to 15 m. On the other hand, the Polylepis forests (kewiñales) are dominated by various species of this genus, which are distributed above 2,500 m of altitude, forming scattered patches in the middle of a landscape dominated by rural physiognomies.
The forests in this biome are characterized by the presence of numerous succulents, mostly thorny, the canopy is continuous and low with isolated emergent species, whose floristic composition and structure varies according to edaphic and topographic conditions. The medium-high semi-deciduous forest with trees between 15-25 m high, which form a complex mosaic with other ecoregions such as the Cerrado and the Flooded Savannahs.
It has dense to semi-open forests and hydrophilic wooded savannas (6-10 m). They are characterized by being semi-deciduous rainfall. Low Chiquitano forests, Chiquitano forests transitional to the Pantanal, and subhumid forests with well-drained soils.
Forests that change in structure, composition and periodicity according to their altitudinal distribution in the tropical Andes (between 800 and 3,500 meters above sea level). Generally, below 2,000 m altitude it is semi-deciduous, with a tree canopy distributed between 15 and 20 m high, and emergent trees that reach just over 25 m. Above 2,000 m altitude the forests are humid and evergreen, thanks to the trade winds. The trees form a canopy distributed between 20 and 25 m high, with emergents reaching up to 30 m.
Seasonal evergreen Polylepis forests of high-mountain Polylepis, distributed between 2,400-3,900 m of altitude.
In the High Amazon region, it corresponds to a plant formation dominated by wooded and evergreen physiognomies, which are generally distributed above 1,000 m of altitude to just over 4,000 m, mainly occupying the eastern portion of the tropical Andes. It also includes the Yungueño forests.
The Chaco forest is distributed in the south of the country and is generally deciduous, microfoliate and thorny. It has a shrubby tree canopy between 3 and 5 m high, with emergents that exceed 10 m, with the presence of columnar cacti being frequent. The Chaco forest develops on sediments of recent origin in well-drained red soils with rocky outcropping, characterized by hardwood trees, whose leaves are shed during the dry season.
In the Lower Amazon region, it is mainly made up of almost evergreen (30-45m), evergreen (30-35m) humid forest, evergreen forests in transition to seasonal semi-deciduous forests of the Chiquitano Dry Forest (>25 (30) m), gallery forest and forest islands.",NA,Not referable,Not referable,255
