crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,1,Water,"Open water bodies (e.g. rivers and oceans) and closed water bodies that are enclosed by land or other artificial barriers (e.g. lakes, ponds, and reservoirs).",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,10,Plantation Forest,Lands dominated by plantation trees with > 60% coverage and > 5m in height,T7.3,Plantations,T7.3 Plantations,48
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,11,Mangrove Forest,Lands dominated by mangrove trees with > 60% coverage and > 5m in height,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,12,Aquaculture,Lands that are permanently or temporarily flooded used for aquatic farming such as fish ponds and shrimp ponds,F3.4,Freshwater aquafarms,F3.4 Freshwater aquafarms,110
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,2,Urban/Built-up,"Impervious surface and man-made structures (e.g. buildings, houses, paved roads, greenhouses, and solar panels), excluding farm roads, irrigation roads, and trails.",T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,3,Rice,Rice fields that are single season or multiple seasons. Terrace rice fields are also included.,F3.3,Rice paddies,F3.3 Rice paddies,109
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,4,Other Crops,"Crops other than rice and woody crops (e.g. corn, bean, and sugar cane)",T7.1,Annual croplands,T7.1 Annual croplands,46
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,5,Grass/Shrub,"Land with non-tree herbaceous vegetation, grasslands, spare shrub (less than 5m in height and greater than 10% canopy cover), golf courses, etc.",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,6,Woody Crops/Orchards,"Perennial woody crops (e.g. coffee, tea, cashew) and woody orchards (e.g. mango, litchi, and dragon fruit)",T7.3,Plantations,T7.3 Plantations,48
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,7,Barren,"Lands with less than 10% of vegetation such as sandy beaches, sand dunes, bare rocks, bare soil, playgrounds",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,8,Evergreen Forest,Lands dominated by natural evergreen trees with > 60% coverage and > 5m in height,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
10/04/2026,Alli Lynn,2.1,302,jaxa_vietnam_lcov_2020,NxxExx_2020_v23.09_10m,raster code,9,Deciduous Forest,Lands dominated by deciduous trees with > 60% coverage and > 5m in height,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
