crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,11,Non forest wetland,NA,NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,12,Grassland,Areas of vegetation predominantly composed of native herbaceous species (grass) or natural tropical grasslands. This includes Deciduous Herbaceous Cover and Deciduous Herbaceous Cover at Altitude (arid zones located mainly in the high parts of the volcanic cones on Isabela Island).,NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,13,Other non-forest natural formation,NA,NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,21,Mosaic of uses,"Areas where the natural cover has been modified, removed, or replaced by other types of vegetation cover for agricultural or livestock use, and where cultivated species are grouped for the production of food, fibers, or pastures. These areas occur in a mosaic pattern and therefore cannot be individually distinguished; exceptionally, they may be associated with fallow land or successional natural vegetation.",NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,23,"Beach, dune and sand spot","Coastal and riparian areas formed by the action of waves and currents, where the soil ranges from fine and coarse sands to pebbles or gravel, and may support sparse vegetation adapted to salinity and moisture. This includes dunes, sandbanks, and beaches of water bodies, characterized by loose sandy soils and minimal vegetation.",NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,24,Urban infrastructure,"Human settlement area associated with large and small urban centers (towns), with built environment infrastructure such as road and railway networks and associated land, as well as other artificialized zones like hydrocarbon extraction sites, hydroelectric plants, military bases, airports, ports, and unconventional airstrips in rural areas. Peripheral areas undergoing a gradual process of urbanization for residential and/or industrial purposes are also included.",NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,25,Other anthropic non-vegetated area,"Areas with little or no vegetation, of anthropogenic origin, not mapped under other classes. These may include transitional crop areas, roads and highways, airstrips, industrial yards, and recently deforested zones.",NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,29,Rocky outcrop,"Geological mass that emerges at the Earth's surface, covering extensive areas with rocky materials of various sizes. This category includes scars left by eruptive processes, lahars, and sand fields. In the Galápagos biome, it includes areas of both ancient and recent lava flows. In the Andes biome, this class is generally found above 4,000 meters above sea level, where the subalpine, alpine, and nival altitudinal zones are located—areas characterized by sparse or absent vegetation.",NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,3,Forest,NA,NA,Not referable,Not referable,255
8/09/2026,Alli Lynn,2.1,487,mapb_ecuad_lcov_2025,80143,NA,raster code,30,Mining,"Surface areas used for the extraction of rock or mineral materials, with clear soil exposure. No distinction is made regarding whether the activity is industrial or artisanal, legal or illegal, or whether the materials are metallic or non-metallic. Most of the extraction is alluvial and not carried out in underground mines.",NA,Not referable,Not referable,255
