crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Arbusto,Shrubs,Natural vegetation that covers from 15 to 100% of the ground. It has a lower stratum dominated by natural herbaceous vegetation. It may correspond to what in Uruguay is called “chircal”.,NA,Not referable,Not referable,255
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Area Impermeable,Impervious Area,Areas defined by the replacement of the original semi-natural cover or aquatic surface with an artificial cover of impermeable materials characterized by a long lifespan. These are areas constructed or formed by adjacent impermeable structures or connected by streets.,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Area Impermeable Dispersa,Scattered Impervious Area,"Scattered areas with artificial impermeable cover (15% to 30%), with small crops, forest plantations and natural herbaceous vegetation.",T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Arena,Sand,Areas made up of fine to coarse sands and dunes of aeolian origin.,NA,Not referable,Not referable,255
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Ba¤ados/Humedales,Marshes/Wetlands,"Permanently floodable areas located in zones of little or no slope. A gradient of increasing moisture from the soil to the open water determines a vegetation sequence. When the flooding is temporary, there is a gradual transition to grassland or reedbeds; with permanent flooding, reedbeds or cattail marshes develop. When depth and light permit, submerged or floating aquatic plants become established.",TF1.3,Permanent marshes,TF1.3 Permanent marshes,72
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Bosque Nativo,Native Forest,"Vegetation dominated by native trees and other plant forms. Includes gallery forest, parkland, mountain forest, and ravine forest. Trees can reach heights of 3 to 8 meters, and ground cover is 65 to 100%. The floristic composition of this ecosystem varies according to the type of forest and environmental conditions.",T4.4,Temperate woodlands,T4.4 Temperate woodlands,25
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Bosque Nativo Disperso,Scattered Native Forest,"Vegetation dominated by trees and other native plant forms. Includes gallery forest, parkland, mountain forest, and ravine forest. Trees can reach heights of 3 to 8 meters, and ground cover is 30 to 65%. The floristic composition of this ecosystem varies according to the type of forest and environmental conditions.",T4.4,Temperate woodlands,T4.4 Temperate woodlands,25
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,"Cantera, Arenera, Mina a Cielo Abierto","Quarry, Sandpit, Open-pit Mine","Extraction sites where the cover of earth, rock, or aggregate materials is removed by human activity. Sites where mineral extraction and processing activities take place were considered.",T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Cuerpo de Agua Artificial,Artificial Water Body,This category includes reservoirs/dams (accumulation of water produced by an obstruction in the bed of a river or stream that partially or totally closes its channel) and irrigation canals (constructions that carry water from the collection to the field where it is applied to crops).,F3.2,Constructed lacustrine wetlands,F3.2 Constructed lacustrine wetlands,108
10/09/2026,Tess_Harmer,2.1,409,mvot_uruguay_lcov_2024,26715,LCCS_Uy_2021_2022_xxxxxx_OA,SUBCLASE,Cuerpo de Agua Natural,Natural Water Body,"This category includes all natural water bodies in the national territory: lakes, lagoons, rivers, streams and areas corresponding to low plains located on the edge of some lagoons and at the mouth of some streams, which remain flooded for several months of the year.",NA,Not referable,Not referable,255
